src,dst,sent_count,received_count,buffered_count,drop_cos_count,buffered_lowcos_count,sent_bytes,buffered_bytes,dropped_bytes,buffered_lowcos_bytes
S10,S4,16,16,16,0,0,28766,28766,0,0
S10,S8,1,1,1,0,0,1782,1782,0,0
S11,S14,3,3,3,0,0,5403,5403,0,0
S11,S9,17,17,0,17,0,30617,0,30617,0
S13,S14,15,15,0,15,0,26986,0,26986,0
S13,S7,1,1,1,0,0,1786,1786,0,0
S14,S11,15,15,4,11,0,26982,7207,19775,0
S14,S3,3,3,3,0,0,5405,5405,0,0
S14,S5,1,1,1,0,0,1793,1793,0,0
S15,S2,1,1,1,0,0,1784,1784,0,0
S15,S4,16,16,0,16,0,28764,0,28764,0
S15,S5,1,1,1,0,0,1794,1794,0,0
S16,S2,17,17,17,0,0,30590,30590,0,0
S16,S8,3,3,2,1,0,5396,3599,1797,0
S17,S10,1,1,0,1,0,1785,0,1785,0
S17,S4,14,14,14,0,0,25162,25162,0,0
S2,S16,2,2,2,0,0,3602,3602,0,0
S2,S17,1,1,0,1,0,1792,0,1792,0
S2,S7,13,13,13,0,0,23393,23393,0,0
S3,S14,13,13,13,0,0,23413,23413,0,0
S3,S6,1,1,1,0,0,1793,1793,0,0
S3,S7,1,1,0,1,0,1799,0,1799,0
S4,S14,16,16,16,0,0,28764,28764,0,0
S4,S15,2,2,0,2,0,3608,0,3608,0
S4,S6,1,1,0,1,0,1791,0,1791,0
S5,S15,14,14,14,0,0,25199,25199,0,0
S5,S17,1,1,0,1,0,1794,0,1794,0
S6,S13,1,1,0,1,0,1795,0,1795,0
S6,S7,15,15,2,13,0,26954,3589,23365,0
S7,S15,1,1,1,0,0,1787,1787,0,0
S7,S3,13,13,0,13,0,23406,0,23406,0
S7,S6,3,3,3,0,0,5414,5414,0,0
S8,S10,1,1,1,0,0,1789,1789,0,0
S8,S16,13,13,10,3,0,23409,18016,5393,0
S9,S11,3,3,0,3,0,5385,0,5385,0
S9,S15,12,12,12,0,0,21596,21596,0,0
S9,S4,1,1,0,1,0,1799,0,1799,0
